code;image_key;zone;group;part;applies_to;name_in_crm;cost_rub;price_rub
BODY-FRONT-07-A;front-cover-bracket;Кузов;Передняя часть;Кронштейн передней облицовки;Yamaha Jog AY01;Кронштейн передней облицовки — Yamaha Jog AY01;650;900
BODY-FRONT-07-D;front-cover-bracket;Кузов;Передняя часть;Кронштейн передней облицовки;Honda Dio AF62/68;Кронштейн передней облицовки — Honda Dio AF62/68;650;900
BODY-FRONT-07-T;front-cover-bracket;Кузов;Передняя часть;Кронштейн передней облицовки;Tank T150;Кронштейн передней облицовки — Tank T150;350;550
BODY-FRONT-08-U;horn-cover;Кузов;Передняя часть;Накладка звукового сигнала;все модели;Накладка звукового сигнала — все модели;300;450
BODY-HANDLE-01-G;handle-cover-front;Кузов;Руль и приборная панель;Обтекатель руля передний;Yamaha Gear 4T;Обтекатель руля передний — Yamaha Gear 4T;2200;3000
BODY-HANDLE-01-J;handle-cover-front;Кузов;Руль и приборная панель;Обтекатель руля передний;Yamaha Jog 4T;Обтекатель руля передний — Yamaha Jog 4T;1850;2500
BODY-HANDLE-01-A;handle-cover-front;Кузов;Руль и приборная панель;Обтекатель руля передний;Yamaha Jog AY01;Обтекатель руля передний — Yamaha Jog AY01;2300;3150
BODY-HANDLE-01-D;handle-cover-front;Кузов;Руль и приборная панель;Обтекатель руля передний;Honda Dio AF62/68;Обтекатель руля передний — Honda Dio AF62/68;2300;3150
BODY-HANDLE-01-T;handle-cover-front;Кузов;Руль и приборная панель;Обтекатель руля передний;Tank T150;Обтекатель руля передний — Tank T150;1200;1650
BODY-HANDLE-02-G;handle-cover-rear;Кузов;Руль и приборная панель;Обтекатель руля задний (крышка руля);Yamaha Gear 4T;Обтекатель руля задний (крышка руля) — Yamaha Gear 4T;1500;2050
BODY-HANDLE-02-J;handle-cover-rear;Кузов;Руль и приборная панель;Обтекатель руля задний (крышка руля);Yamaha Jog 4T;Обтекатель руля задний (крышка руля) — Yamaha Jog 4T;1300;1800
BODY-HANDLE-02-A;handle-cover-rear;Кузов;Руль и приборная панель;Обтекатель руля задний (крышка руля);Yamaha Jog AY01;Обтекатель руля задний (крышка руля) — Yamaha Jog AY01;1600;2200
BODY-HANDLE-02-D;handle-cover-rear;Кузов;Руль и приборная панель;Обтекатель руля задний (крышка руля);Honda Dio AF62/68;Обтекатель руля задний (крышка руля) — Honda Dio AF62/68;1600;2200
BODY-HANDLE-02-T;handle-cover-rear;Кузов;Руль и приборная панель;Обтекатель руля задний (крышка руля);Tank T150;Обтекатель руля задний (крышка руля) — Tank T150;850;1150
BODY-HANDLE-03-G;meter-frame;Кузов;Руль и приборная панель;Рамка приборной панели;Yamaha Gear 4T;Рамка приборной панели — Yamaha Gear 4T;900;1250
BODY-HANDLE-03-J;meter-frame;Кузов;Руль и приборная панель;Рамка приборной панели;Yamaha Jog 4T;Рамка приборной панели — Yamaha Jog 4T;750;1050
BODY-HANDLE-03-A;meter-frame;Кузов;Руль и приборная панель;Рамка приборной панели;Yamaha Jog AY01;Рамка приборной панели — Yamaha Jog AY01;950;1300
BODY-HANDLE-03-D;meter-frame;Кузов;Руль и приборная панель;Рамка приборной панели;Honda Dio AF62/68;Рамка приборной панели — Honda Dio AF62/68;950;1300
BODY-HANDLE-03-T;meter-frame;Кузов;Руль и приборная панель;Рамка приборной панели;Tank T150;Рамка приборной панели — Tank T150;500;700
BODY-HANDLE-04-G;windscreen;Кузов;Руль и приборная панель;Ветровое стекло (козырёк);Yamaha Gear 4T;Ветровое стекло (козырёк) — Yamaha Gear 4T;1600;2200
BODY-HANDLE-04-T;windscreen;Кузов;Руль и приборная панель;Ветровое стекло (козырёк);Tank T150;Ветровое стекло (козырёк) — Tank T150;1200;1650
BODY-HANDLE-05-U;windscreen-screws;Кузов;Руль и приборная панель;Крепёж ветрового стекла (комплект);все модели;Крепёж ветрового стекла (комплект) — все модели;200;300
BODY-MIDDLE-01-G;floor-board;Кузов;Средняя часть и пол;Пол (подножка водителя);Yamaha Gear 4T;Пол (подножка водителя) — Yamaha Gear 4T;3000;3900
BODY-MIDDLE-01-J;floor-board;Кузов;Средняя часть и пол;Пол (подножка водителя);Yamaha Jog 4T;Пол (подножка водителя) — Yamaha Jog 4T;2550;3450
BODY-MIDDLE-01-A;floor-board;Кузов;Средняя часть и пол;Пол (подножка водителя);Yamaha Jog AY01;Пол (подножка водителя) — Yamaha Jog AY01;3150;4100
BODY-MIDDLE-01-D;floor-board;Кузов;Средняя часть и пол;Пол (подножка водителя);Honda Dio AF62/68;Пол (подножка водителя) — Honda Dio AF62/68;3150;4100
BODY-MIDDLE-01-T;floor-board;Кузов;Средняя часть и пол;Пол (подножка водителя);Tank T150;Пол (подножка водителя) — Tank T150;1650;2250
BODY-MIDDLE-02-G;side-skirts;Кузов;Средняя часть и пол;Лыжи боковые нижние (пара);Yamaha Gear 4T;Лыжи боковые нижние (пара) — Yamaha Gear 4T;2400;3250
BODY-MIDDLE-02-J;side-skirts;Кузов;Средняя часть и пол;Лыжи боковые нижние (пара);Yamaha Jog 4T;Лыжи боковые нижние (пара) — Yamaha Jog 4T;2050;2800
BODY-MIDDLE-02-A;side-skirts;Кузов;Средняя часть и пол;Лыжи боковые нижние (пара);Yamaha Jog AY01;Лыжи боковые нижние (пара) — Yamaha Jog AY01;2500;3400
BODY-MIDDLE-02-D;side-skirts;Кузов;Средняя часть и пол;Лыжи боковые нижние (пара);Honda Dio AF62/68;Лыжи боковые нижние (пара) — Honda Dio AF62/68;2500;3400
BODY-MIDDLE-02-T;side-skirts;Кузов;Средняя часть и пол;Лыжи боковые нижние (пара);Tank T150;Лыжи боковые нижние (пара) — Tank T150;1300;1800
BODY-MIDDLE-03-G;floor-mat;Кузов;Средняя часть и пол;Коврик пола резиновый;Yamaha Gear 4T;Коврик пола резиновый — Yamaha Gear 4T;700;950
BODY-MIDDLE-03-J;floor-mat;Кузов;Средняя часть и пол;Коврик пола резиновый;Yamaha Jog 4T;Коврик пола резиновый — Yamaha Jog 4T;600;850
BODY-MIDDLE-03-A;floor-mat;Кузов;Средняя часть и пол;Коврик пола резиновый;Yamaha Jog AY01;Коврик пола резиновый — Yamaha Jog AY01;750;1050
BODY-MIDDLE-03-D;floor-mat;Кузов;Средняя часть и пол;Коврик пола резиновый;Honda Dio AF62/68;Коврик пола резиновый — Honda Dio AF62/68;750;1050
BODY-MIDDLE-03-T;floor-mat;Кузов;Средняя часть и пол;Коврик пола резиновый;Tank T150;Коврик пола резиновый — Tank T150;400;600
BODY-MIDDLE-04-G;glovebox;Кузов;Средняя часть и пол;Карман (бардачок) внутреннего щитка;Yamaha Gear 4T;Карман (бардачок) внутреннего щитка — Yamaha Gear 4T;4800;6250
BODY-MIDDLE-04-J;glovebox;Кузов;Средняя часть и пол;Карман (бардачок) внутреннего щитка;Yamaha Jog 4T;Карман (бардачок) внутреннего щитка — Yamaha Jog 4T;4100;5350
BODY-MIDDLE-04-A;glovebox;Кузов;Средняя часть и пол;Карман (бардачок) внутреннего щитка;Yamaha Jog AY01;Карман (бардачок) внутреннего щитка — Yamaha Jog AY01;5050;6600
BODY-MIDDLE-04-D;glovebox;Кузов;Средняя часть и пол;Карман (бардачок) внутреннего щитка;Honda Dio AF62/68;Карман (бардачок) внутреннего щитка — Honda Dio AF62/68;5050;6600
BODY-MIDDLE-04-T;glovebox;Кузов;Средняя часть и пол;Карман (бардачок) внутреннего щитка;Tank T150;Карман (бардачок) внутреннего щитка — Tank T150;2650;3600
BODY-MIDDLE-05-G;glovebox-lid;Кузов;Средняя часть и пол;Крышка бардачка;Yamaha Gear 4T;Крышка бардачка — Yamaha Gear 4T;700;950
BODY-MIDDLE-05-J;glovebox-lid;Кузов;Средняя часть и пол;Крышка бардачка;Yamaha Jog 4T;Крышка бардачка — Yamaha Jog 4T;600;850
BODY-MIDDLE-05-A;glovebox-lid;Кузов;Средняя часть и пол;Крышка бардачка;Yamaha Jog AY01;Крышка бардачка — Yamaha Jog AY01;750;1050
BODY-MIDDLE-05-D;glovebox-lid;Кузов;Средняя часть и пол;Крышка бардачка;Honda Dio AF62/68;Крышка бардачка — Honda Dio AF62/68;750;1050
BODY-MIDDLE-05-T;glovebox-lid;Кузов;Средняя часть и пол;Крышка бардачка;Tank T150;Крышка бардачка — Tank T150;400;600
BODY-MIDDLE-06-U;glovebox-lock;Кузов;Средняя часть и пол;Замок бардачка;все модели;Замок бардачка — все модели;450;700
BODY-MIDDLE-07-U;bag-hook;Кузов;Средняя часть и пол;Крючок для сумки;все модели;Крючок для сумки — все модели;250;400
BODY-MIDDLE-08-G;battery-lid;Кузов;Средняя часть и пол;Лючок аккумулятора;Yamaha Gear 4T;Лючок аккумулятора — Yamaha Gear 4T;600;850
BODY-MIDDLE-08-J;battery-lid;Кузов;Средняя часть и пол;Лючок аккумулятора;Yamaha Jog 4T;Лючок аккумулятора — Yamaha Jog 4T;500;700
BODY-MIDDLE-08-A;battery-lid;Кузов;Средняя часть и пол;Лючок аккумулятора;Yamaha Jog AY01;Лючок аккумулятора — Yamaha Jog AY01;650;900
BODY-MIDDLE-08-D;battery-lid;Кузов;Средняя часть и пол;Лючок аккумулятора;Honda Dio AF62/68;Лючок аккумулятора — Honda Dio AF62/68;650;900
BODY-MIDDLE-08-T;battery-lid;Кузов;Средняя часть и пол;Лючок аккумулятора;Tank T150;Лючок аккумулятора — Tank T150;350;550
BODY-MIDDLE-09-G;fuel-lid;Кузов;Средняя часть и пол;Лючок бензобака;Yamaha Gear 4T;Лючок бензобака — Yamaha Gear 4T;500;700
BODY-MIDDLE-09-J;fuel-lid;Кузов;Средняя часть и пол;Лючок бензобака;Yamaha Jog 4T;Лючок бензобака — Yamaha Jog 4T;400;600
BODY-MIDDLE-09-A;fuel-lid;Кузов;Средняя часть и пол;Лючок бензобака;Yamaha Jog AY01;Лючок бензобака — Yamaha Jog AY01;500;700
BODY-MIDDLE-09-D;fuel-lid;Кузов;Средняя часть и пол;Лючок бензобака;Honda Dio AF62/68;Лючок бензобака — Honda Dio AF62/68;500;700
BODY-MIDDLE-09-T;fuel-lid;Кузов;Средняя часть и пол;Лючок бензобака;Tank T150;Лючок бензобака — Tank T150;300;450
BODY-MIDDLE-10-G;center-tunnel;Кузов;Средняя часть и пол;Накладка центрального тоннеля;Yamaha Gear 4T;Накладка центрального тоннеля — Yamaha Gear 4T;1300;1800
BODY-MIDDLE-10-J;center-tunnel;Кузов;Средняя часть и пол;Накладка центрального тоннеля;Yamaha Jog 4T;Накладка центрального тоннеля — Yamaha Jog 4T;1100;1500
BODY-MIDDLE-10-A;center-tunnel;Кузов;Средняя часть и пол;Накладка центрального тоннеля;Yamaha Jog AY01;Накладка центрального тоннеля — Yamaha Jog AY01;1350;1850
BODY-MIDDLE-10-D;center-tunnel;Кузов;Средняя часть и пол;Накладка центрального тоннеля;Honda Dio AF62/68;Накладка центрального тоннеля — Honda Dio AF62/68;1350;1850
BODY-MIDDLE-10-T;center-tunnel;Кузов;Средняя часть и пол;Накладка центрального тоннеля;Tank T150;Накладка центрального тоннеля — Tank T150;700;950
BODY-REAR-01-G;side-cover-left;Кузов;Задняя часть;Боковина левая;Yamaha Gear 4T;Боковина левая — Yamaha Gear 4T;2600;3550
BODY-REAR-01-J;side-cover-left;Кузов;Задняя часть;Боковина левая;Yamaha Jog 4T;Боковина левая — Yamaha Jog 4T;2200;3000
BODY-REAR-01-A;side-cover-left;Кузов;Задняя часть;Боковина левая;Yamaha Jog AY01;Боковина левая — Yamaha Jog AY01;2750;3750
BODY-REAR-01-D;side-cover-left;Кузов;Задняя часть;Боковина левая;Honda Dio AF62/68;Боковина левая — Honda Dio AF62/68;2750;3750
BODY-REAR-01-T;side-cover-left;Кузов;Задняя часть;Боковина левая;Tank T150;Боковина левая — Tank T150;1450;2000
BODY-REAR-02-G;side-cover-right;Кузов;Задняя часть;Боковина правая;Yamaha Gear 4T;Боковина правая — Yamaha Gear 4T;2600;3550
BODY-REAR-02-J;side-cover-right;Кузов;Задняя часть;Боковина правая;Yamaha Jog 4T;Боковина правая — Yamaha Jog 4T;2200;3000
BODY-REAR-02-A;side-cover-right;Кузов;Задняя часть;Боковина правая;Yamaha Jog AY01;Боковина правая — Yamaha Jog AY01;2750;3750
BODY-REAR-02-D;side-cover-right;Кузов;Задняя часть;Боковина правая;Honda Dio AF62/68;Боковина правая — Honda Dio AF62/68;2750;3750
BODY-REAR-02-T;side-cover-right;Кузов;Задняя часть;Боковина правая;Tank T150;Боковина правая — Tank T150;1450;2000
BODY-REAR-03-G;tail-cover;Кузов;Задняя часть;Задний обтекатель (хвост);Yamaha Gear 4T;Задний обтекатель (хвост) — Yamaha Gear 4T;2200;3000
BODY-REAR-03-J;tail-cover;Кузов;Задняя часть;Задний обтекатель (хвост);Yamaha Jog 4T;Задний обтекатель (хвост) — Yamaha Jog 4T;1850;2500
BODY-REAR-03-A;tail-cover;Кузов;Задняя часть;Задний обтекатель (хвост);Yamaha Jog AY01;Задний обтекатель (хвост) — Yamaha Jog AY01;2300;3150
BODY-REAR-03-D;tail-cover;Кузов;Задняя часть;Задний обтекатель (хвост);Honda Dio AF62/68;Задний обтекатель (хвост) — Honda Dio AF62/68;2300;3150
BODY-REAR-03-T;tail-cover;Кузов;Задняя часть;Задний обтекатель (хвост);Tank T150;Задний обтекатель (хвост) — Tank T150;1200;1650
BODY-REAR-04-G;seat-under-trim;Кузов;Задняя часть;Накладка под сиденьем;Yamaha Gear 4T;Накладка под сиденьем — Yamaha Gear 4T;1100;1500
BODY-REAR-04-J;seat-under-trim;Кузов;Задняя часть;Накладка под сиденьем;Yamaha Jog 4T;Накладка под сиденьем — Yamaha Jog 4T;950;1300
BODY-REAR-04-A;seat-under-trim;Кузов;Задняя часть;Накладка под сиденьем;Yamaha Jog AY01;Накладка под сиденьем — Yamaha Jog AY01;1150;1600
BODY-REAR-04-D;seat-under-trim;Кузов;Задняя часть;Накладка под сиденьем;Honda Dio AF62/68;Накладка под сиденьем — Honda Dio AF62/68;1150;1600
BODY-REAR-04-T;seat-under-trim;Кузов;Задняя часть;Накладка под сиденьем;Tank T150;Накладка под сиденьем — Tank T150;600;850
BODY-REAR-05-G;rear-fender;Кузов;Задняя часть;Крыло заднее;Yamaha Gear 4T;Крыло заднее — Yamaha Gear 4T;1200;1650
BODY-REAR-05-J;rear-fender;Кузов;Задняя часть;Крыло заднее;Yamaha Jog 4T;Крыло заднее — Yamaha Jog 4T;1000;1350
BODY-REAR-05-A;rear-fender;Кузов;Задняя часть;Крыло заднее;Yamaha Jog AY01;Крыло заднее — Yamaha Jog AY01;1250;1700
BODY-REAR-05-D;rear-fender;Кузов;Задняя часть;Крыло заднее;Honda Dio AF62/68;Крыло заднее — Honda Dio AF62/68;1250;1700
BODY-REAR-05-T;rear-fender;Кузов;Задняя часть;Крыло заднее;Tank T150;Крыло заднее — Tank T150;650;900
BODY-REAR-06-U;mud-flap;Кузов;Задняя часть;Брызговик задний;все модели;Брызговик задний — все модели;500;700
BODY-REAR-07-G;plate-holder;Кузов;Задняя часть;Кронштейн номерного знака;Yamaha Gear 4T;Кронштейн номерного знака — Yamaha Gear 4T;700;950
BODY-REAR-07-J;plate-holder;Кузов;Задняя часть;Кронштейн номерного знака;Yamaha Jog 4T;Кронштейн номерного знака — Yamaha Jog 4T;600;850
BODY-REAR-07-A;plate-holder;Кузов;Задняя часть;Кронштейн номерного знака;Yamaha Jog AY01;Кронштейн номерного знака — Yamaha Jog AY01;750;1050
BODY-REAR-07-D;plate-holder;Кузов;Задняя часть;Кронштейн номерного знака;Honda Dio AF62/68;Кронштейн номерного знака — Honda Dio AF62/68;750;1050
BODY-REAR-07-T;plate-holder;Кузов;Задняя часть;Кронштейн номерного знака;Tank T150;Кронштейн номерного знака — Tank T150;400;600
BODY-REAR-08-U;reflector;Кузов;Задняя часть;Катафот (отражатель);все модели;Катафот (отражатель) — все модели;150;250
BODY-REAR-09-G;grab-handle;Кузов;Задняя часть;Ручка пассажира;Yamaha Gear 4T;Ручка пассажира — Yamaha Gear 4T;1100;1500
BODY-REAR-09-J;grab-handle;Кузов;Задняя часть;Ручка пассажира;Yamaha Jog 4T;Ручка пассажира — Yamaha Jog 4T;950;1300
BODY-REAR-09-A;grab-handle;Кузов;Задняя часть;Ручка пассажира;Yamaha Jog AY01;Ручка пассажира — Yamaha Jog AY01;1150;1600
BODY-REAR-09-D;grab-handle;Кузов;Задняя часть;Ручка пассажира;Honda Dio AF62/68;Ручка пассажира — Honda Dio AF62/68;1150;1600
BODY-REAR-09-T;grab-handle;Кузов;Задняя часть;Ручка пассажира;Tank T150;Ручка пассажира — Tank T150;600;850
BODY-REAR-10-G;rear-carrier;Кузов;Задняя часть;Багажник задний;Yamaha Gear 4T;Багажник задний — Yamaha Gear 4T;1800;2450
BODY-REAR-10-J;rear-carrier;Кузов;Задняя часть;Багажник задний;Yamaha Jog 4T;Багажник задний — Yamaha Jog 4T;1550;2100
BODY-REAR-10-A;rear-carrier;Кузов;Задняя часть;Багажник задний;Yamaha Jog AY01;Багажник задний — Yamaha Jog AY01;1900;2600
BODY-REAR-10-D;rear-carrier;Кузов;Задняя часть;Багажник задний;Honda Dio AF62/68;Багажник задний — Honda Dio AF62/68;1900;2600
BODY-REAR-10-T;rear-carrier;Кузов;Задняя часть;Багажник задний;Tank T150;Багажник задний — Tank T150;1000;1350
BODY-REAR-11-U;top-box-plate;Кузов;Задняя часть;Площадка под кофр;все модели;Площадка под кофр — все модели;800;1100
BODY-REAR-12-G;front-basket;Кузов;Задняя часть;Корзина передняя;Yamaha Gear 4T;Корзина передняя — Yamaha Gear 4T;1500;2050
BODY-REAR-13-G;basket-bracket;Кузов;Задняя часть;Кронштейн передней корзины;Yamaha Gear 4T;Кронштейн передней корзины — Yamaha Gear 4T;700;950
BODY-REAR-14-T;pillion-pegs;Кузов;Задняя часть;Подножки пассажира (пара);Tank T150;Подножки пассажира (пара) — Tank T150;900;1250
BODY-SEAT-01-G;seat;Кузов;Сиденье и багажный отсек;Сиденье в сборе;Yamaha Gear 4T;Сиденье в сборе — Yamaha Gear 4T;2400;3250
BODY-SEAT-01-J;seat;Кузов;Сиденье и багажный отсек;Сиденье в сборе;Yamaha Jog 4T;Сиденье в сборе — Yamaha Jog 4T;2050;2800
BODY-SEAT-01-A;seat;Кузов;Сиденье и багажный отсек;Сиденье в сборе;Yamaha Jog AY01;Сиденье в сборе — Yamaha Jog AY01;2500;3400
BODY-SEAT-01-D;seat;Кузов;Сиденье и багажный отсек;Сиденье в сборе;Honda Dio AF62/68;Сиденье в сборе — Honda Dio AF62/68;2500;3400
BODY-SEAT-01-T;seat;Кузов;Сиденье и багажный отсек;Сиденье в сборе;Tank T150;Сиденье в сборе — Tank T150;1300;1800
BODY-SEAT-02-U;seat-cover;Кузов;Сиденье и багажный отсек;Чехол сиденья (под перетяжку);все модели;Чехол сиденья (под перетяжку) — все модели;700;950
BODY-SEAT-03-G;seat-hinge;Кузов;Сиденье и багажный отсек;Петля сиденья;Yamaha Gear 4T;Петля сиденья — Yamaha Gear 4T;450;700
BODY-SEAT-03-J;seat-hinge;Кузов;Сиденье и багажный отсек;Петля сиденья;Yamaha Jog 4T;Петля сиденья — Yamaha Jog 4T;400;600
BODY-SEAT-03-A;seat-hinge;Кузов;Сиденье и багажный отсек;Петля сиденья;Yamaha Jog AY01;Петля сиденья — Yamaha Jog AY01;450;700
BODY-SEAT-03-D;seat-hinge;Кузов;Сиденье и багажный отсек;Петля сиденья;Honda Dio AF62/68;Петля сиденья — Honda Dio AF62/68;450;700
BODY-SEAT-03-T;seat-hinge;Кузов;Сиденье и багажный отсек;Петля сиденья;Tank T150;Петля сиденья — Tank T150;250;400
BODY-SEAT-04-G;seat-lock;Кузов;Сиденье и багажный отсек;Замок сиденья;Yamaha Gear 4T;Замок сиденья — Yamaha Gear 4T;600;850
BODY-SEAT-04-J;seat-lock;Кузов;Сиденье и багажный отсек;Замок сиденья;Yamaha Jog 4T;Замок сиденья — Yamaha Jog 4T;500;700
BODY-SEAT-04-A;seat-lock;Кузов;Сиденье и багажный отсек;Замок сиденья;Yamaha Jog AY01;Замок сиденья — Yamaha Jog AY01;650;900
BODY-SEAT-04-D;seat-lock;Кузов;Сиденье и багажный отсек;Замок сиденья;Honda Dio AF62/68;Замок сиденья — Honda Dio AF62/68;650;900
BODY-SEAT-04-T;seat-lock;Кузов;Сиденье и багажный отсек;Замок сиденья;Tank T150;Замок сиденья — Tank T150;350;550
BODY-SEAT-05-U;seat-lock-cable;Кузов;Сиденье и багажный отсек;Трос замка сиденья;все модели;Трос замка сиденья — все модели;250;400
BODY-SEAT-06-U;seat-bumper;Кузов;Сиденье и багажный отсек;Резиновый упор сиденья;все модели;Резиновый упор сиденья — все модели;80;150
BODY-SEAT-07-A;seat-strut;Кузов;Сиденье и багажный отсек;Газовый упор сиденья;Yamaha Jog AY01;Газовый упор сиденья — Yamaha Jog AY01;700;950
BODY-SEAT-07-T;seat-strut;Кузов;Сиденье и багажный отсек;Газовый упор сиденья;Tank T150;Газовый упор сиденья — Tank T150;600;850
BODY-SEAT-08-G;storage-box;Кузов;Сиденье и багажный отсек;Подсидельный бокс (багажник под сиденьем);Yamaha Gear 4T;Подсидельный бокс (багажник под сиденьем) — Yamaha Gear 4T;1900;2600
BODY-SEAT-08-J;storage-box;Кузов;Сиденье и багажный отсек;Подсидельный бокс (багажник под сиденьем);Yamaha Jog 4T;Подсидельный бокс (багажник под сиденьем) — Yamaha Jog 4T;1600;2200
BODY-SEAT-08-A;storage-box;Кузов;Сиденье и багажный отсек;Подсидельный бокс (багажник под сиденьем);Yamaha Jog AY01;Подсидельный бокс (багажник под сиденьем) — Yamaha Jog AY01;2000;2700
BODY-SEAT-08-D;storage-box;Кузов;Сиденье и багажный отсек;Подсидельный бокс (багажник под сиденьем);Honda Dio AF62/68;Подсидельный бокс (багажник под сиденьем) — Honda Dio AF62/68;2000;2700
BODY-SEAT-08-T;storage-box;Кузов;Сиденье и багажный отсек;Подсидельный бокс (багажник под сиденьем);Tank T150;Подсидельный бокс (багажник под сиденьем) — Tank T150;1050;1450
BODY-SEAT-09-U;helmet-hook;Кузов;Сиденье и багажный отсек;Крючок для шлема;все модели;Крючок для шлема — все модели;200;300
