code;group;work;price_rub
WORK-04-05;Топливная система и выпуск;Чистка дроссельного узла;800
WORK-04-06;Топливная система и выпуск;Замена бензонасоса;1200
WORK-04-07;Топливная система и выпуск;Замена топливного фильтра и шлангов;300
WORK-04-08;Топливная система и выпуск;Чистка бензобака;1500
WORK-04-09;Топливная система и выпуск;Замена глушителя;500
WORK-04-10;Топливная система и выпуск;Замена впускного коллектора;600
WORK-05-01;Охлаждение;Замена антифриза;600
WORK-05-02;Охлаждение;Ремонт помпы (ремкомплект);2000
WORK-05-03;Охлаждение;Замена радиатора;1200
WORK-05-04;Охлаждение;Замена термостата;900
WORK-05-05;Охлаждение;Замена патрубков охлаждения;600
WORK-06-01;Тормоза;Замена передних колодок;500
WORK-06-02;Тормоза;Замена задних колодок;700
WORK-06-03;Тормоза;Регулировка тормоза;150
WORK-06-04;Тормоза;Прокачка тормозов с заменой жидкости;700
WORK-06-05;Тормоза;Замена тормозного диска;700
WORK-06-06;Тормоза;Замена суппорта или главного цилиндра;800
WORK-06-07;Тормоза;Замена троса тормоза;450
WORK-07-01;Ходовая и колёса;Замена покрышки или камеры (переднее колесо);600
WORK-07-02;Ходовая и колёса;Замена покрышки или камеры (заднее колесо);900
WORK-07-03;Ходовая и колёса;Ремонт прокола;400
WORK-07-04;Ходовая и колёса;Правка колёсного диска;700
WORK-07-05;Ходовая и колёса;Замена подшипников колеса;600
WORK-07-06;Ходовая и колёса;Замена заднего амортизатора;500
WORK-07-07;Ходовая и колёса;Замена передних амортизаторов;1500
WORK-07-08;Ходовая и колёса;Замена сальников вилки;1500
WORK-07-09;Ходовая и колёса;Замена подшипников рулевой колонки;1800
WORK-07-10;Ходовая и колёса;Регулировка рулевой колонки;600
WORK-07-11;Ходовая и колёса;Замена подножки;500
WORK-07-12;Ходовая и колёса;Замена троса газа;450
WORK-07-13;Ходовая и колёса;Замена троса спидометра;400
WORK-08-01;Электрика;Диагностика электрики;800
WORK-08-02;Электрика;Замена аккумулятора;150
WORK-08-03;Электрика;Зарядка аккумулятора;300
WORK-08-04;Электрика;Замена лампы;150
WORK-08-05;Электрика;Замена фары или стоп-сигнала;600
WORK-08-06;Электрика;Замена поворотника;300
WORK-08-07;Электрика;Замена катушки или коммутатора;500
WORK-08-08;Электрика;Замена реле-регулятора;500
WORK-08-09;Электрика;Замена стартера;600
WORK-08-10;Электрика;Ремонт стартера;800
WORK-08-11;Электрика;Замена статора генератора;1500
WORK-08-12;Электрика;Замена замка зажигания;700
WORK-08-13;Электрика;Замена блока кнопок на руле;500
WORK-08-14;Электрика;Замена спидометра;800
WORK-08-15;Электрика;Ремонт проводки (час);1200
WORK-08-16;Электрика;Установка сигнализации;2000
WORK-09-01;Кузов и пластик;Снятие и установка пластика (частично);600
WORK-09-02;Кузов и пластик;Снятие и установка пластика (полностью);1800
WORK-09-03;Кузов и пластик;Замена детали пластика;400
WORK-09-04;Кузов и пластик;Ремонт пластика пайкой (1 место);800
WORK-09-05;Кузов и пластик;Замена зеркал;150
WORK-09-06;Кузов и пластик;Замена или перетяжка сиденья;1200
WORK-09-07;Кузов и пластик;Установка багажника или кофра;500
WORK-09-08;Кузов и пластик;Наклейка комплекта наклеек;800
WORK-10-01;Электротранспорт;Диагностика электроскутера;800
WORK-10-02;Электротранспорт;Замена контроллера;1500
WORK-10-03;Электротранспорт;Замена мотор-колеса;1500
WORK-10-04;Электротранспорт;Замена покрышки мотор-колеса;1500
WORK-10-05;Электротранспорт;Ремонт и балансировка аккумулятора;2500
WORK-10-06;Электротранспорт;Замена датчиков Холла;2000
WORK-10-07;Электротранспорт;Замена ручки газа;500
WORK-10-08;Электротранспорт;Замена преобразователя DC-DC;700
WORK-11-01;Прочее;Эвакуация по городу;1500
WORK-11-02;Прочее;Хранение (сутки);100
WORK-11-03;Прочее;Срочный ремонт — надбавка;1000
WORK-11-04;Прочее;Час работы мастера;1500
